2019-05-23 23:45,madison-cottage-grove,Butter Pecan
2019-05-23 23:45,mcfarland,Chocolate Heath Crunch
2019-05-23 23:45,stoughton,Peanut Butter Salted Caramel
2019-05-23 23:45,cottage-grove-wi-landmark-dr,Butter Pecan
2019-05-24 23:45,mt-horeb,Oreo Cheesecake
2019-05-24 23:45,cross-plains,Oreo Overload
2019-05-24 23:45,middleton,Twix Mix
2019-05-24 23:45,madison-wi-mineral-point-rd,Really Reese's
2019-05-24 23:45,verona,Double Marshmallow Oreo
2019-05-24 23:45,madison-todd-drive,Rocky Road
2019-05-24 23:45,waunakee,Turtle
2019-05-24 23:45,madison-northport,Twix Mix
2019-05-24 23:45,sun-prairie,Oreo Overload
2019-05-24 23:45,madison-east-towne,Chocolate Oreo Volcano
2019-05-24 23:45,madison-cottage-grove,Chocolate Almond Salted Caramel
2019-05-24 23:45,mcfarland,Bonfire S'mores
2019-05-24 23:45,stoughton,Kit Kat Swirl
2019-05-24 23:45,cottage-grove-wi-landmark-dr,Kit Kat Swirl
2019-05-25 23:45,mt-horeb,Caramel Fudge Cookie Dough
2019-05-25 23:45,cross-plains,Turtle
2019-05-25 23:45,middleton,Cappuccino Almond Fudge
2019-05-25 23:45,madison-wi-mineral-point-rd,Dark Chocolate Decadence
2019-05-25 23:45,verona,Chocolate Caramel Twist
2019-05-25 23:45,madison-todd-drive,Butter Brickle
2019-05-25 23:45,waunakee,Twix Mix
2019-05-25 23:45,madison-northport,Chocolate Covered Strawberry
2019-05-25 23:45,sun-prairie,Chocolate Pretzel Crunch
2019-05-25 23:45,madison-east-towne,Brownie Thunder
2019-05-25 23:45,madison-cottage-grove,Caramel Chocolate Pecan
2019-05-25 23:45,mcfarland,Caramel Pecan
2019-05-25 23:45,stoughton,Caramel Fudge Cookie Dough
2019-05-25 23:45,cottage-grove-wi-landmark-dr,Bonfire S'mores
2019-05-26 23:45,mt-horeb,Peanut Butter Cup
2019-05-26 23:45,cross-plains,Really Reese's
2019-05-26 23:45,middleton,Chocolate Eclair
2019-05-26 23:46,madison-wi-mineral-point-rd,Hershey Almond Fudge
2019-05-26 23:46,verona,Bonfire S'mores
2019-05-26 23:46,madison-todd-drive,Cookie Dough Craving
2019-05-26 23:46,waunakee,Cappuccino Almond Fudge
2019-05-26 23:46,madison-northport,Caramel Pecan
2019-05-26 23:46,sun-prairie,Rocky Road
2019-05-26 23:46,madison-east-towne,Caramel Peanut Buttercup
2019-05-26 23:46,madison-cottage-grove,Cookies & Cream
2019-05-26 23:46,mcfarland,Crazy for Cookie Dough
2019-05-26 23:46,stoughton,Double Marshmallow Oreo
2019-05-26 23:46,cottage-grove-wi-landmark-dr,Cookies & Cream
2019-05-27 23:45,mt-horeb,Butter Pecan
2019-05-27 23:45,cross-plains,Mint Chip
2019-05-27 23:45,middleton,Butter Brickle
2019-05-27 23:45,madison-wi-mineral-point-rd,Cookie Dough Craving
2019-05-27 23:45,verona,Peanut Butter Cookie Dough
2019-05-27 23:45,madison-todd-drive,Oreo Overload
2019-05-27 23:45,waunakee,Chocolate Heath Crunch
2019-05-27 23:45,madison-northport,Restaurant Closed Today
2019-05-27 23:45,sun-prairie,Blackberry Cobbler
2019-05-27 23:45,madison-east-towne,Bonfire S'mores
2019-05-27 23:45,madison-cottage-grove,Salted Double Caramel Pecan
2019-05-27 23:45,mcfarland,Andes Mint Avalanche
2019-05-27 23:45,stoughton,Turtle
2019-05-27 23:45,cottage-grove-wi-landmark-dr,Cappuccino Almond Fudge
2019-05-28 23:45,mt-horeb,Turtle
2019-05-28 23:45,cross-plains,Rocky Road
2019-05-28 23:45,middleton,Toffee Pecan
2019-05-28 23:45,madison-wi-mineral-point-rd,Salted Double Caramel Pecan
2019-05-28 23:45,verona,Kit Kat Swirl
2019-05-28 23:45,madison-todd-drive,Chocolate Pretzel Crunch
2019-05-28 23:45,waunakee,Turtle Dove
2019-05-28 23:45,madison-northport,Oreo Overload
2019-05-28 23:45,sun-prairie,Red Raspberry
2019-05-28 23:45,madison-east-towne,Butter Brickle
2019-05-28 23:45,madison-cottage-grove,Andes Mint Avalanche
2019-05-28 23:45,mcfarland,Caramel Cashew
2019-05-28 23:45,stoughton,Andes Mint Avalanche
2019-05-28 23:45,cottage-grove-wi-landmark-dr,Chocolate Covered Strawberry
2019-05-29 23:45,mt-horeb,Peanut Butter Salted Caramel
2019-05-29 23:45,cross-plains,Snickers Swirl
2019-05-29 23:45,middleton,Dark Chocolate Decadence
2019-05-29 23:45,madison-wi-mineral-point-rd,Chocolate Pretzel Crunch
2019-05-29 23:45,verona,Oreo Cheesecake
2019-05-29 23:45,madison-todd-drive,Double Marshmallow Oreo
2019-05-29 23:45,waunakee,Red Raspberry
2019-05-29 23:45,madison-northport,Peanut Butter Cookie Dough
2019-05-29 23:45,sun-prairie,Turtle
2019-05-29 23:45,madison-east-towne,Cappuccino Cookie Crumble
2019-05-29 23:45,madison-cottage-grove,Brownie Thunder
2019-05-29 23:45,mcfarland,Turtle Dove
2019-05-29 23:45,stoughton,Peanut Butter Cup
2019-05-29 23:45,cottage-grove-wi-landmark-dr,Toffee Pecan
2019-05-30 23:45,mt-horeb,Oreo Overload
2019-05-30 23:45,cross-plains,Caramel Chocolate Pecan
2019-05-30 23:45,middleton,Chocolate Pretzel Crunch
2019-05-30 23:45,madison-wi-mineral-point-rd,Mint Explosion
2019-05-30 23:45,verona,Turtle Dove
2019-05-30 23:45,madison-todd-drive,Double Caramel Chocolate Peanut
2019-05-30 23:45,waunakee,Chocolate Covered Strawberry
2019-05-30 23:45,madison-northport,Brownie Thunder
2019-05-30 23:45,sun-prairie,Snickers Swirl
2019-05-30 23:45,madison-east-towne,Heath Chocolate Almond
2019-05-30 23:45,madison-cottage-grove,Twix Mix
2019-05-30 23:45,mcfarland,Double Marshmallow Oreo
2019-05-30 23:45,stoughton,Salted Double Caramel Pecan
2019-05-30 23:45,cottage-grove-wi-landmark-dr,Mint Explosion
2019-05-31 23:45,mt-horeb,Mint Chip
2019-05-31 23:45,cross-plains,Kit Kat Swirl
2019-05-31 23:45,middleton,Rocky Road
2019-05-31 23:45,madison-wi-mineral-point-rd,Heath Chocolate Almond
2019-05-31 23:45,verona,Mint Explosion
2019-05-31 23:45,madison-todd-drive,Double Strawberry
2019-05-31 23:45,waunakee,Brownie Batter Overload
2019-05-31 23:45,madison-northport,Snickers Swirl
2019-05-31 23:45,sun-prairie,Cookies & Cream
2019-05-31 23:45,madison-east-towne,Rocky Road
2019-05-31 23:45,madison-cottage-grove,Caramel Cashew
2019-05-31 23:45,mcfarland,Peanut Butter Cookie Dough
2019-05-31 23:45,stoughton,Chocolate Heath Crunch
2019-05-31 23:45,cottage-grove-wi-landmark-dr,Crazy for Cookie Dough
2019-06-01 23:45,mt-horeb,Really Reese's
2019-06-01 23:45,cross-plains,Turtle
2019-06-01 23:45,middleton,Red Raspberry
2019-06-01 23:45,madison-wi-mineral-point-rd,Georgia Peach
2019-06-01 23:45,verona,Chocolate Eclair
2019-06-01 23:45,madison-todd-drive,Really Reese's
2019-06-01 23:45,waunakee,Chocolate Pretzel Crunch
2019-06-01 23:45,madison-northport,Chocolate Pretzel Crunch
2019-06-01 23:45,sun-prairie,Caramel Fudge Cookie Dough
2019-06-01 23:45,madison-east-towne,Double Marshmallow Oreo
2019-06-01 23:45,madison-cottage-grove,Blackberry Cobbler
2019-06-01 23:45,mcfarland,Chocolate Oreo Volcano
2019-06-01 23:45,stoughton,Brownie Thunder
2019-06-01 23:45,cottage-grove-wi-landmark-dr,Hershey Almond Fudge
2019-06-02 23:45,mt-horeb,Kit Kat Swirl
2019-06-02 23:45,cross-plains,Chocolate Heath Crunch
2019-06-02 23:45,middleton,Cookie Dough Craving
2019-06-02 23:45,madison-wi-mineral-point-rd,Brownie Thunder
2019-06-02 23:45,verona,Double Marshmallow Oreo
2019-06-02 23:45,madison-todd-drive,Kit Kat Swirl
2019-06-02 23:45,waunakee,Double Strawberry
2019-06-02 23:45,madison-northport,Turtle
2019-06-02 23:45,sun-prairie,Caramel Cashew
2019-06-02 23:45,madison-east-towne,Brownie Thunder
2019-06-02 23:45,madison-cottage-grove,Cookies & Cream
2019-06-02 23:45,mcfarland,Toffee Pecan
2019-06-02 23:45,stoughton,Bonfire S'mores
2019-06-02 23:45,cottage-grove-wi-landmark-dr,Chocolate Caramel Twist
2019-06-03 23:45,mt-horeb,Dark Chocolate Decadence
2019-06-03 23:45,cross-plains,Georgia Peach
2019-06-03 23:45,middleton,Oreo Cheesecake
2019-06-03 23:45,madison-wi-mineral-point-rd,Chocolate Caramel Twist
2019-06-03 23:45,verona,Caramel Peanut Buttercup
2019-06-03 23:45,madison-todd-drive,Peanut Butter Salted Caramel
2019-06-03 23:45,waunakee,Peanut Butter Cup
2019-06-03 23:45,madison-northport,Double Strawberry
2019-06-03 23:45,sun-prairie,Chocolate Oreo Volcano
2019-06-03 23:45,madison-east-towne,Really Reese's
2019-06-03 23:45,madison-cottage-grove,Brownie Batter Overload
2019-06-03 23:45,mcfarland,Brownie Batter Overload
2019-06-03 23:45,stoughton,Caramel Cashew
2019-06-03 23:45,cottage-grove-wi-landmark-dr,Andes Mint Avalanche
2019-06-04 23:45,mt-horeb,Turtle
2019-06-04 23:45,cross-plains,Caramel Pecan
2019-06-04 23:45,middleton,Caramel Cashew
2019-06-04 23:45,madison-wi-mineral-point-rd,Double Strawberry
2019-06-04 23:45,verona,Turtle
2019-06-04 23:45,madison-todd-drive,Brownie Thunder
2019-06-04 23:45,waunakee,Chocolate Oreo Volcano
2019-06-04 23:45,madison-northport,Chocolate Eclair
2019-06-04 23:45,sun-prairie,Mint Oreo
2019-06-04 23:45,madison-east-towne,Snickers Swirl
2019-06-04 23:45,madison-cottage-grove,Chocolate Heath Crunch
2019-06-04 23:45,mcfarland,Peanut Butter Cup
2019-06-04 23:45,stoughton,Mint Explosion
2019-06-04 23:45,cottage-grove-wi-landmark-dr,Chocolate Eclair
2019-06-05 23:45,mt-horeb,Brownie Thunder
2019-06-05 23:45,cross-plains,Dark Chocolate Decadence
2019-06-05 23:45,middleton,Georgia Peach
2019-06-05 23:45,madison-wi-mineral-point-rd,Turtle
2019-06-05 23:45,verona,Andes Mint Avalanche
2019-06-05 23:45,madison-todd-drive,Red Raspberry
2019-06-05 23:45,waunakee,Andes Mint Avalanche
2019-06-05 23:45,madison-northport,Georgia Peach
2019-06-05 23:45,sun-prairie,Snickers Swirl
2019-06-05 23:45,madison-east-towne,Brownie Batter Overload
2019-06-05 23:45,madison-cottage-grove,Mint Chip
2019-06-05 23:45,mcfarland,Double Strawberry
2019-06-05 23:45,stoughton,Caramel Fudge Cookie Dough
2019-06-05 23:45,cottage-grove-wi-landmark-dr,Cappuccino Cookie Crumble
2019-06-06 23:45,mt-horeb,Salted Double Caramel Pecan
2019-06-06 23:45,cross-plains,Red Raspberry
2019-06-06 23:45,middleton,Turtle Dove
2019-06-06 23:45,madison-wi-mineral-point-rd,Dark Chocolate Decadence
2019-06-06 23:45,verona,Brownie Batter Overload
2019-06-06 23:45,madison-todd-drive,Bonfire S'mores
2019-06-06 23:45,waunakee,Crazy for Cookie Dough
2019-06-06 23:45,madison-northport,Caramel Fudge Cookie Dough
2019-06-06 23:45,sun-prairie,Double Strawberry
2019-06-06 23:45,madison-east-towne,Crazy for Cookie Dough
2019-06-06 23:45,madison-cottage-grove,Coconut Chocolate Almond Crunch
2019-06-06 23:45,mcfarland,Turtle
2019-06-06 23:45,stoughton,Butter Brickle
2019-06-06 23:45,cottage-grove-wi-landmark-dr,Caramel Cashew
2019-06-07 23:45,mt-horeb,Cookie Dough Craving
2019-06-07 23:45,cross-plains,Brownie Thunder
2019-06-07 23:45,middleton,Chocolate Covered Strawberry
2019-06-07 23:45,madison-wi-mineral-point-rd,Cookies & Cream
2019-06-07 23:45,verona,Chocolate Pretzel Crunch
2019-06-07 23:45,madison-todd-drive,Caramel Fudge Cookie Dough
2019-06-07 23:45,waunakee,Double Marshmallow Oreo
2019-06-07 23:45,madison-northport,Really Reese's
2019-06-07 23:45,sun-prairie,Turtle
2019-06-07 23:45,madison-east-towne,Turtle
2019-06-07 23:45,madison-cottage-grove,Chocolate Oreo Volcano
2019-06-07 23:45,mcfarland,Cookies & Cream
2019-06-07 23:45,stoughton,Really Reese's
2019-06-07 23:45,cottage-grove-wi-landmark-dr,Blackberry Cobbler
2019-06-08 23:45,mt-horeb,Rocky Road
2019-06-08 23:45,cross-plains,Oreo Overload
2019-06-08 23:45,middleton,Mint Chip
2019-06-08 23:45,madison-wi-mineral-point-rd,Butter Brickle
2019-06-08 23:45,verona,Chocolate Caramel Twist
2019-06-08 23:45,madison-todd-drive,Rocky Road
2019-06-08 23:45,waunakee,Turtle Dove
2019-06-08 23:45,madison-northport,Oreo Overload
2019-06-08 23:45,sun-prairie,Really Reese's
2019-06-08 23:45,madison-east-towne,Cookies & Cream
2019-06-08 23:45,madison-cottage-grove,Butter Pecan
2019-06-08 23:45,mcfarland,Caramel Pecan
2019-06-08 23:45,stoughton,Chocolate Covered Strawberry
