"3-7 min","1-4 min",2019-12-14 17:22:42
"1-4 min","1-4 min",2019-12-14 17:29:42
"unknown","unknown",2019-12-14 18:31:11
"1-4 min","1-4 min",2019-12-14 18:35:47
"1-4 min","unknown",2019-12-14 19:02:04
"4-8 min","1-4 min",2019-12-14 19:09:03
"1-4 min","1-4 min",2019-12-14 19:14:23
"3-7 min","1-4 min",2019-12-15 04:30:48
"13-17 min","1-4 min",2019-12-15 04:38:10
"15-19 min","1-4 min",2019-12-15 04:40:17
"12-16 min","1-5 min",2019-12-15 04:48:35
"12-16 min","1-4 min",2019-12-15 04:54:51
"12-16 min","3-7 min",2019-12-15 04:58:44
"12-16 min","2-6 min",2019-12-15 05:03:46
"5-9 min","1-4 min",2019-12-15 05:08:55
"4-8 min","1-4 min",2019-12-15 05:13:51
"5-9 min","1-4 min",2019-12-15 05:19:52
"3-7 min","1-4 min",2019-12-15 05:22:14
"2-6 min","1-4 min",2019-12-15 06:09:40
"3-7 min","1-4 min",2019-12-15 06:12:05
"1-4 min","1-4 min",2019-12-15 06:21:00
"2-6 min","1-4 min",2019-12-15 06:43:40
"1-4 min","1-4 min",2019-12-15 06:48:13
"4-8 min","1-4 min",2019-12-15 06:51:25
"2-6 min","1-4 min",2019-12-15 06:55:19
"1-4 min","1-4 min",2019-12-15 07:03:55
"3-7 min","1-4 min",2019-12-15 07:13:16
"4-8 min","1-4 min",2019-12-15 07:21:56
"1-4 min","1-4 min",2019-12-15 07:26:52
"3-7 min","1-4 min",2019-12-15 07:31:46
"15-19 min","1-4 min",2019-12-15 07:38:46
"13-17 min","1-4 min",2019-12-15 07:40:09
"13-17 min","2-6 min",2019-12-15 07:49:03
"11-15 min","1-4 min",2019-12-15 07:54:22
"6-10 min","2-6 min",2019-12-15 07:57:55
"4-8 min","2-6 min",2019-12-15 08:04:07
"5-9 min","3-7 min",2019-12-15 08:09:35
"3-7 min","5-9 min",2019-12-15 08:20:44
"2-6 min","5-9 min",2019-12-15 08:38:58
"1-4 min","3-7 min",2019-12-15 08:44:59
"1-4 min","1-4 min",2019-12-15 08:52:19
"3-7 min","1-4 min",2019-12-15 08:59:50
"2-6 min","1-4 min",2019-12-15 09:00:51
"3-7 min","1-4 min",2019-12-15 09:06:31
"1-4 min","1-4 min",2019-12-15 09:13:23
"4-8 min","1-4 min",2019-12-15 09:39:11
"3-7 min","1-4 min",2019-12-15 09:43:46
"1-4 min","1-4 min",2019-12-15 09:49:56
