2017-08-18,NULL,32,Express - No Carpool,Aloha - No Carpool,NULL,NULL,NULL,NULL,NULL,16:48:38,17:01:00,17:06:40,17:15:59,17:25:33
2017-08-19,NULL,NULL,No Express - No Carpool,Aloha - Carpool,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-08-20,NULL,NULL,No Express - No Carpool,Republican - No Carpool,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-08-21,31,36,Express - Carpool,Aloha - Carpool,07:01:06,07:08:23,07:18:59,07:24:52,07:29:40,16:57:27,17:02:56,17:08:03,17:18:09,NULL
2017-08-22,40,55,Express - No Carpool,Denny - Carpool,07:08:53,07:16:29,07:35:34,07:42:58,07:48:28,16:39:59,16:53:44,17:02:14,17:20:23,NULL
2017-08-23,43,NULL,Express - Carpool,Republican - Carpool,07:15:07,07:22:56,07:38:17,07:50:46,07:53:18,NULL,NULL,NULL,NULL,NULL
2017-08-24,42,45,Express - Carpool,Republican - No Carpool,07:17:37,07:25:35,07:43:37,07:53:37,08:00:15,16:12:55,16:27:42,16:38:00,17:05:45,NULL
2017-08-25,31,40,No Express - No Carpool,Aloha - Carpool,07:18:26,07:26:18,07:38:50,07:48:49,07:53:53,15:57:52,16:11:49,16:16:54,16:32:58,NULL
2017-08-26,NULL,NULL,Express - Carpool,Aloha - No Carpool,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-08-27,NULL,NULL,No Express - No Carpool,Denny - No Carpool,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-08-28,42,37,No Express - No Carpool,Denny - Carpool,07:20:26,07:28:54,07:48:56,08:02:31,08:06:34,16:58:46,17:11:24,17:17:16,17:31:03,17:41:22
2017-08-29,NULL,NULL,No Express - Carpool,Republican - No Carpool,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-08-30,48,38,No Express - Carpool,Denny - Carpool,07:13:53,07:22:13,07:42:45,07:56:20,07:59:49,17:36:46,17:48:23,17:53:28,18:07:07,18:18:19
2017-08-31,50,46,Express - Carpool,Aloha - Carpool,07:30:07,07:38:30,07:59:19,08:08:10,08:11:29,16:41:54,16:51:19,17:00:27,17:16:32,NULL
2017-09-01,28,36,No Express - No Carpool,Aloha - No Carpool,07:35:15,07:42:59,07:53:59,08:01:05,08:04:39,16:48:18,16:57:10,17:02:55,17:14:08,17:22:06
2017-09-02,NULL,NULL,No Express - Carpool,Denny - No Carpool,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-09-03,NULL,NULL,No Express - No Carpool,Aloha - Carpool,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-09-04,NULL,NULL,No Express - Carpool,Republican - No Carpool,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2017-09-05,36,42,Express - Carpool,Denny - No Carpool,07:03:30,07:23:46,07:46:43,08:00:27,08:04:02,17:02:23,17:14:48,17:22:00,17:41:54,NULL
